Station_ID	Tide_Amp (ft)	calendar_year	min_date	max_date	90th%Upper_water_level (ft NAVD88)	10%thLower_water_level (ft NAVD88)	avg_water_level (ft NAVD88)	avg_flooding (ft)	90%thUpper_flooding (ft)	10%thLower_flooding (ft)	GEOID	std_deviation_water_level(ft NAVD88)	std_deviation_avg_flooding (ft)
CRMS0157-H01	0.6321363	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	3.37	1.85	2.61	0.87	1.63	0.1	GEOID99   	0.6	0.6
CRMS0157-H01	0.5870048	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	3.26	2.01	2.61	0.87	1.51	0.27	GEOID99   	0.48	0.48
CRMS0157-H01	0.5228376	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	3.44	1.88	2.69	0.94	1.69	0.13	GEOID99   	0.59	0.59
CRMS0157-H01	0.5526544	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	3.22	2.16	2.7	0.95	1.48	0.41	GEOID99   	0.48	0.48
CRMS0159-H01	0.8821297	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.57	0.97	1.76	0.36	1.17	-0.43	GEOID99   	0.63	0.63
CRMS0159-H01	0.8328691	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.53	1.03	1.74	0.34	1.13	-0.37	GEOID99   	0.58	0.58
CRMS0159-H01	0.7696684	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	2.45	1.04	1.75	0.35	1.05	-0.36	GEOID99   	0.55	0.55
CRMS0159-H01	0.8068202	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.69	1.28	1.99	0.59	1.29	-0.12	GEOID99   	0.54	0.54
CRMS0161-H01	0.8680797	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	2.15	0.49	1.35	0.66	1.46	-0.2	GEOID99   	0.69	0.69
CRMS0161-H01	0.8479264	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.44	0.62	1.54	0.85	1.75	-0.08	GEOID99   	0.73	0.73
CRMS0161-H01	0.7719636	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.29	0.67	1.47	0.77	1.59	-0.02	GEOID99   	0.62	0.62
CRMS0161-H01	0.7583735	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	2.15	0.68	1.44	0.75	1.46	-0.02	GEOID99   	0.59	0.59
CRMS0161-H01	0.7343417	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.42	0.96	1.71	1.02	1.72	0.27	GEOID99   	0.58	0.58
CRMS0163-H01	0.7708997	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	2.18	0.69	1.41	0.18	0.94	-0.55	GEOID99   	0.6	0.6
CRMS0163-H01	0.7635462	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.31	0.81	1.55	0.32	1.07	-0.42	GEOID99   	0.59	0.59
CRMS0163-H01	0.6825901	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.28	0.91	1.56	0.32	1.04	-0.32	GEOID99   	0.52	0.52
CRMS0163-H01	0.5720985	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	2.14	0.93	1.54	0.3	0.91	-0.3	GEOID99   	0.47	0.47
CRMS0163-H01	0.7100202	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.24	0.98	1.6	0.36	1	-0.26	GEOID99   	0.48	0.48
CRMS0164-H01	0.5757354	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.64	0.3	0.97	0.04	0.71	-0.63	GEOID99   	0.52	0.52
CRMS0164-H01	0.5839398	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.54	0.33	0.93	0	0.61	-0.61	GEOID99   	0.53	0.53
CRMS0164-H01	0.6028705	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.79	0.4	1.1	0.17	0.86	-0.53	GEOID99   	0.55	0.56
CRMS0164-H01	0.5997376	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.76	0.25	1.01	0.08	0.83	-0.68	GEOID99   	0.58	0.58
CRMS0164-H01	0.5805044	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.53	0.27	0.93	0	0.6	-0.66	GEOID99   	0.51	0.51
CRMS0164-H01	0.5925137	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.75	0.49	1.14	0.21	0.82	-0.44	GEOID99   	0.54	0.54
CRMS0171-H01	0.8535903	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	2.07	0.43	1.26	-0.02	0.79	-0.85	GEOID99   	0.68	0.68
CRMS0171-H01	0.852688	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.14	0.5	1.33	0.05	0.86	-0.78	GEOID99   	0.64	0.64
CRMS0171-H01	0.8145742	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.1	0.39	1.24	-0.04	0.82	-0.89	GEOID99   	0.64	0.64
CRMS0171-H01	0.7603678	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.9	0.43	1.19	-0.09	0.62	-0.85	GEOID99   	0.58	0.58
CRMS0171-H01	0.775521	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.05	0.61	1.35	0.07	0.77	-0.67	GEOID99   	0.59	0.59
CRMS0172-H01	0.7977479	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	2.09	0.5	1.3	0.13	0.92	-0.67	GEOID99   	0.66	0.66
CRMS0172-H01	0.7916353	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.16	0.6	1.38	0.21	0.99	-0.57	GEOID99   	0.6	0.6
CRMS0172-H01	0.7483693	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.15	0.55	1.33	0.16	0.98	-0.62	GEOID99   	0.6	0.6
CRMS0172-H01	0.6963755	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.91	0.49	1.22	0.04	0.74	-0.68	GEOID99   	0.55	0.55
CRMS0172-H01	0.757276	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.06	0.63	1.37	0.2	0.89	-0.54	GEOID99   	0.57	0.57
CRMS0173-H01	0.7571186	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.79	0.15	0.97	0.03	0.85	-0.79	GEOID99   	0.62	0.62
CRMS0173-H01	0.7839765	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.96	0.25	1.14	0.2	1.02	-0.69	GEOID99   	0.71	0.71
CRMS0173-H01	0.7804245	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.05	0.37	1.23	0.29	1.11	-0.57	GEOID99   	0.66	0.66
CRMS0173-H01	0.7650196	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2	0.2	1.11	0.17	1.06	-0.74	GEOID99   	0.68	0.68
CRMS0173-H01	0.7034674	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.94	0.27	1.13	0.19	1	-0.67	GEOID99   	0.7	0.7
CRMS0173-H01	0.7681572	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.94	0.42	1.21	0.27	1	-0.52	GEOID99   	0.62	0.62
CRMS0174-H01	0.8463037	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.99	0.27	1.14	0.15	1	-0.72	GEOID99   	0.65	0.65
CRMS0174-H01	0.8594033	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	2.09	0.35	1.24	0.25	1.1	-0.64	GEOID99   	0.72	0.72
CRMS0174-H01	0.817793	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.09	0.41	1.26	0.26	1.09	-0.58	GEOID99   	0.66	0.66
CRMS0174-H01	0.8344411	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.14	0.39	1.27	0.28	1.15	-0.6	GEOID99   	0.66	0.66
CRMS0174-H01	0.6664589	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.92	0.4	1.19	0.2	0.93	-0.59	GEOID99   	0.6	0.6
CRMS0174-H01	0.7713204	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.06	0.58	1.35	0.36	1.06	-0.41	GEOID99   	0.64	0.64
CRMS0175-H01	0.6246793	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.03	0.38	1.21	0.18	0.998	-0.652	GEOID99   	0.65	0.65
CRMS0175-H01	0.6030648	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.86	0.22	1.05	0.02	0.828	-0.812	GEOID99   	0.63	0.63
CRMS0175-H01	0.5933358	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.54	0.24	0.93	-0.1	0.508	-0.792	GEOID99   	0.54	0.54
CRMS0175-H01	0.5734464	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.83	0.56	1.22	0.19	0.8	-0.47	GEOID99   	0.55	0.55
CRMS0176-H01	0.8476833	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.89	0.19	1.05	-0.41	0.43	-1.27	GEOID99   	0.65	0.65
CRMS0176-H01	0.8539501	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.16	0.43	1.31	-0.15	0.7	-1.04	GEOID99   	0.69	0.69
CRMS0176-H01	0.8272	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.15	0.31	1.24	-0.23	0.69	-1.16	GEOID99   	0.7	0.7
CRMS0176-H01	0.7687737	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.99	0.54	1.27	-0.19	0.53	-0.92	GEOID99   	0.57	0.57
CRMS0178-H01	0.7177131	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.64	-0.01	1.07	-0.1	0.475	-1.175	GEOID99   	1.97	1.97
CRMS0178-H01	0.7574534	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.62	0.05	0.85	-0.32	0.455	-1.115	GEOID99   	0.62	0.62
CRMS0178-H01	0.7272316	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.64	-0.04	0.81	-0.36	0.475	-1.205	GEOID99   	0.65	0.65
CRMS0178-H01	0.6978996	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.39	-0.02	0.72	-0.45	0.225	-1.185	GEOID99   	0.57	0.57
CRMS0178-H01	0.6805014	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.61	0.24	0.96	-0.21	0.44	-0.925	GEOID99   	0.57	0.57
CRMS0179-H01	0.8900168	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.91	0.14	1.04	-0.02	0.85	-0.92	GEOID99   	0.69	0.69
CRMS0179-H01	0.8614972	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.98	0.21	1.11	0.05	0.92	-0.85	GEOID99   	0.75	0.75
CRMS0179-H01	0.8449817	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.09	0.37	1.23	0.17	1.02	-0.7	GEOID99   	0.69	0.69
CRMS0179-H01	0.8468468	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.98	0.12	1.05	-0.01	0.92	-0.94	GEOID99   	0.71	0.71
CRMS0179-H01	0.7816448	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.73	0.11	0.96	-0.1	0.67	-0.95	GEOID99   	0.66	0.66
CRMS0179-H01	0.7987899	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.96	0.41	1.22	0.15	0.89	-0.66	GEOID99   	0.67	0.67
CRMS0181-H01	0.8702471	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.04	0.35	1.21	0.19	1.02	-0.67	GEOID99   	0.66	0.66
CRMS0181-H01	0.8348551	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.99	0.27	1.12	0.1	0.97	-0.74	GEOID99   	0.65	0.65
CRMS0181-H01	0.6553102	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.82	0.27	1.07	0.06	0.8	-0.74	GEOID99   	0.61	0.61
CRMS0181-H01	0.8031945	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.91	0.44	1.21	0.19	0.9	-0.57	GEOID99   	0.64	0.64
CRMS0184-W01	0.002625494	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.87	1.43	1.64	0.89	1.12	0.68	GEOID99   	0.23	0.23
CRMS0184-W01	0.004642601	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	2.04	1.6	1.88	1.13	1.29	0.85	GEOID99   	0.33	0.33
CRMS0184-W01	0.002138964	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.22	1.5	1.9	1.15	1.47	0.75	GEOID99   	0.31	0.31
CRMS0184-W01	0.000793701	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.11	1.68	1.89	1.14	1.36	0.93	GEOID99   	0.2	0.2
CRMS0185-H01	0.1190514	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.05	0.81	1.47	0.12	0.7	-0.54	GEOID99   	0.56	0.56
CRMS0188-M01	0.107389	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.54	0.32	0.97	0	0.5	-0.44	GEOID99   	0.46	0.35
CRMS0188-M01	0.08288809	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.68	0.39	1.1	0.23	0.7	-0.29	GEOID99   	0.59	0.4
CRMS0188-M01	0.08537429	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.79	0.36	1.13	0.29	0.85	-0.28	GEOID99   	0.54	0.43
CRMS0188-M01	0.09170505	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.74	0.14	1.02	0.25	0.83	-0.35	GEOID99   	0.62	0.46
CRMS0189-M01	0.003425532	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.81	1.14	1.45	0.15	0.45	-0.09	GEOID99   	0.41	0.29
CRMS0189-M01	0.00476723	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.83	0.93	1.32	0.11	0.63	-0.3	GEOID99   	0.35	0.37
CRMS0189-M01	0.002893799	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.87	0.81	1.37	0.17	0.58	-0.27	GEOID99   	0.4	0.33
CRMS0189-M01	0.001595329	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.48	0.85	1.17	-0.06	0.2	-0.31	GEOID99   	0.34	0.21
CRMS0189-M01	0.002031685	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.72	0.97	1.35	0.03	0.26	-0.22	GEOID99   	0.36	0.21
CRMS0190-M01	0.05527449	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.59	0.47	1.01	0.05	0.56	-0.37	GEOID99   	0.42	0.37
CRMS0190-M01	0.03487346	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.29	0.6	0.96	-0.01	0.42	-0.42	GEOID99   	0.27	0.31
CRMS0190-M01	0.06881896	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.71	0.77	1.21	-0.1	0.3	-0.37	GEOID99   	0.38	0.29
CRMS0190-M01	0.09718402	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.78	0.72	1.17	-0.09	0.38	-0.42	GEOID99   	0.49	0.33
CRMS0190-M01	0.2342778	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.53	0.35	1.01	-0.11	0.12	-0.38	GEOID99   	0.53	0.31
CRMS0190-M01	0.2303718	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.65	0.55	1.13	0	0.3	-0.26	GEOID99   	0.47	0.26
CRMS0192-H01	0.03189734	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.2	0.94	1.58	-0.03	0.56	-0.4	GEOID99   	0.53	0.34
CRMS0192-M01	0.00284017	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.75	1.07	1.39	0	0.26	-0.23	GEOID99   	0.28	0.19
CRMS0192-M01	0.001113558	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	2.06	1.38	1.67	0.19	0.43	0.02	GEOID99   	0.34	0.19
CRMS0192-M01	0.003025385	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.96	1.06	1.44	0.1	0.52	-0.26	GEOID99   	0.34	0.38
CRMS0192-M01	0.038131	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.06	0.89	1.52	0.15	0.5	-0.2	GEOID99   	0.49	0.28
CRMS0192-M01	0.03611248	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.85	0.7	1.33	-0.04	0.2	-0.38	GEOID99   	0.5	0.27
CRMS0192-M01	0.03200971	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.2	0.94	1.58	0.29	0.64	-0.01	GEOID99   	0.53	0.33
CRMS0194-W01	0.01857301	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	4.1	2.63	3.58	-0.05	0.467	-1.003	GEOID99   	0.67	0.67
CRMS0194-W01	0.01048182	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	4.41	2.52	3.43	-0.2	0.777	-1.113	GEOID99   	0.68	0.68
CRMS0194-W01	0.01541036	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	3.9	2.22	3.2	-0.44	0.267	-1.413	GEOID99   	0.65	0.65
CRMS0194-W01	0.002991589	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	4.55	3.11	3.76	0.13	0.92	-0.53	GEOID99   	0.61	0.61
CRMS0197-W01	0.007198748	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	3.19	1.22	2.48	0.2	0.91	-1.06	GEOID99   	0.8	0.8
CRMS0197-W01	0.008654032	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	3.56	1.28	2.49	0.21	1.28	-1.01	GEOID99   	0.8	0.8
CRMS0197-W01	0.00200537	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	2.8	1.15	2.2	-0.08	0.52	-1.13	GEOID99   	0.57	0.57
CRMS0197-W01	0.001388388	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	3.68	2.27	2.74	0.46	1.39	-0.01	GEOID99   	0.6	0.6
CRMS0200-W01	0.006819619	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.89	1.31	2.37	-0.5	0.02	-1.562	GEOID99   	0.69	0.69
CRMS0200-W01	0.009148791	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	3.26	1.18	2.29	-0.58	0.39	-1.69	GEOID99   	0.73	0.73
CRMS0200-W01	0.003940304	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	2.58	0.93	1.91	-0.97	-0.29	-1.94	GEOID99   	0.67	0.67
CRMS0200-W01	0.003630555	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	3.31	2.08	2.52	-0.35	0.44	-0.79	GEOID99   	0.54	0.54
CRMS0206-H01	0.02202662	2010	3/19/2010 1:00:00 PM	12/31/2010 11:00:00 PM	1.95	0.45	1.25	0.6	1.302	-0.198	GEOID99   	0.58	0.58
CRMS0206-H01	0.02314436	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.56	0.42	1.05	0.4	0.912	-0.228	GEOID99   	0.49	0.49
CRMS0206-H01	0.01660257	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.11	0.65	1.38	0.73	1.46	0	GEOID99   	0.6	0.6
CRMS0206-W01	0.002269916	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.56	0.14	1.02	0.96	1.51	0.09	GEOID99   	0.57	0.57
CRMS0206-W01	0.002313296	2010	1/1/2010 12:00:00 AM	10/5/2010 10:00:00 AM	1.66	0.76	1.21	1.15	1.6	0.7	GEOID99   	0.33	0.33
CRMS0209-H01	0.6775256	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.63	0.05	0.88	-0.04	0.72	-0.88	GEOID99   	0.61	0.62
CRMS0209-H01	0.6942407	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.76	-0.04	0.91	0.01	0.86	-0.94	GEOID99   	0.69	0.69
CRMS0209-H01	0.6524684	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.5	-0.09	0.74	-0.16	0.6	-0.99	GEOID99   	0.62	0.62
CRMS0209-H01	0.6499734	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.83	0.26	1.07	0.17	0.93	-0.64	GEOID99   	0.61	0.61
CRMS0211-H01	0.04365629	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.13	0.86	1.52	-0.74	-0.17	-1.08	GEOID99   	0.54	0.33
CRMS0211-M01	0.003333787	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.11	0.45	0.79	0.09	0.4	-0.19	GEOID99   	0.26	0.24
CRMS0211-M01	0.003870251	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.66	0.74	1.26	0.21	0.53	-0.06	GEOID99   	0.49	0.33
CRMS0211-M01	0.003234283	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.95	0.87	1.4	0.14	0.67	-0.33	GEOID99   	0.4	0.39
CRMS0211-M01	0.01693568	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.89	0.89	1.42	-0.11	0.12	-0.26	GEOID99   	0.43	0.15
CRMS0211-M01	0.06467109	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.81	0.64	1.28	-0.23	-0.11	-0.45	GEOID99   	0.52	0.18
CRMS0211-M01	0.04386136	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.13	0.86	1.52	-0.13	-0.01	-0.21	GEOID99   	0.54	0.11
CRMS0217-H01	0.01058659	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.39	0.77	1.66	0.72	1.45	-0.17	GEOID99   	0.78	0.78
CRMS0217-H01	0.004526477	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.8	0.66	1.78	0.84	1.86	-0.28	GEOID99   	0.79	0.79
CRMS0217-H01	0.008203788	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	2.06	0.63	1.28	0.34	1.12	-0.31	GEOID99   	0.53	0.53
CRMS0217-H01	0.005898975	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.78	0.73	1.73	0.79	1.84	-0.21	GEOID99   	0.76	0.76
CRMS0218-H01	0.009072805	2010	3/15/2010 12:00:00 PM	12/31/2010 11:00:00 PM	2.49	0.97	1.75	1.32	2.052	0.53	GEOID99   	0.55	0.55
CRMS0218-H01	0.005706416	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	2.03	0.89	1.48	1.05	1.59	0.452	GEOID99   	0.44	0.44
CRMS0218-H01	0.005988277	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	2.5	1.04	1.75	1.32	2.06	0.61	GEOID99   	0.58	0.58
CRMS0218-W01	0.004303247	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.58	1.45	1.92	1.6	2.242	1.19	GEOID99   	0.49	0.45
CRMS0219-M01	0.003828102	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.51	0.83	1.16	0.24	0.6	-0.08	GEOID99   	0.27	0.26
CRMS0219-M01	0.002389441	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.46	0.95	1.19	0.38	0.65	0.17	GEOID99   	0.2	0.19
CRMS0219-M01	0.004489324	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.7	0.75	1.21	0.38	0.88	0	GEOID99   	0.36	0.34
CRMS0219-M01	0.004755823	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.78	1.04	1.34	0.42	0.75	0.17	GEOID99   	0.32	0.27
CRMS0219-M01	0.003516586	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.4	1.01	1.2	0.32	0.51	0.14	GEOID99   	0.3	0.2
CRMS0220-H01	0.3110448	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	1.6	0.22	0.92	-0.25	0.43	-0.95	GEOID99   	0.52	0.52
CRMS0220-H01	0.302789	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.69	0.34	1.06	-0.11	0.52	-0.83	GEOID99   	0.63	0.63
CRMS0220-H01	0.3135397	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.77	0.4	1.13	-0.04	0.6	-0.77	GEOID99   	0.51	0.51
CRMS0220-H01	0.3236727	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.76	0.15	1.01	-0.16	0.59	-1.02	GEOID99   	0.59	0.59
CRMS0220-H01	0.3167393	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.48	0.28	0.94	-0.23	0.31	-0.89	GEOID99   	0.51	0.51
CRMS0220-H01	0.3283309	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.65	0.5	1.12	-0.05	0.48	-0.67	GEOID99   	0.54	0.54
CRMS0224-H01	0.4307021	2007	1/1/2007 12:00:00 AM	12/31/2007 11:00:00 PM	2.06	0.74	1.4	0.14	0.8	-0.52	GEOID99   	0.5	0.5
CRMS0224-H01	0.5715978	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	2.07	0.6	1.35	0.1	0.82	-0.66	GEOID99   	0.7	0.7
CRMS0224-H01	0.5564355	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	2.08	0.65	1.37	0.11	0.83	-0.6	GEOID99   	0.55	0.55
CRMS0224-H01	0.5073303	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	2.05	0.53	1.29	0.03	0.79	-0.73	GEOID99   	0.56	0.56
CRMS0224-H01	0.4459904	2011	1/1/2011 12:00:00 AM	12/31/2011 11:00:00 PM	1.81	0.56	1.21	-0.05	0.55	-0.7	GEOID99   	0.52	0.52
CRMS0224-H01	0.5550037	2012	1/1/2012 12:00:00 AM	12/31/2012 11:00:00 PM	1.96	0.71	1.37	0.12	0.7	-0.54	GEOID99   	0.61	0.61
CRMS0225-H01	0.2969303	2008	1/1/2008 12:00:00 AM	12/31/2008 11:00:00 PM	1.94	0.5	1.27	0.34	1.01	-0.43	GEOID99   	0.66	0.66
CRMS0225-H01	0.3342625	2009	1/1/2009 12:00:00 AM	12/31/2009 11:00:00 PM	1.96	0.61	1.3	0.37	1.02	-0.32	GEOID99   	0.53	0.53
CRMS0225-H01	0.3424734	2010	1/1/2010 12:00:00 AM	12/31/2010 11:00:00 PM	1.92	0.32	1.17	0.23	0.99	-0.62	GEOID99   	0.62	0.62
